name,description,totalAmount,category,type,date
Online Course,Natural positive responsibility task consumer live.,450.45,Academic,Expense,2025-03-22
Ride Share,Own cause whole thought appear.,353.29,Transportation,Expense,2025-02-10
Cafeteria,Letter reveal evening.,113.93,Food and Dining,Expense,2025-02-09
Netflix Subscription,Wall staff describe magazine tell under.,260.62,Leisure and Entertainment,Expense,2025-03-26
Netflix Subscription,Line individual with economic try recent.,2817.6,Leisure and Entertainment,Income,2025-02-17
Movie,Effort maintain history enjoy toward.,484.27,Leisure and Entertainment,Expense,2025-02-20
Netflix Subscription,Wish majority particular.,12.04,Leisure and Entertainment,Expense,2025-02-24
Restaurant,Concern speak medical themselves structure.,297.62,Food and Dining,Expense,2025-02-09
Bus Fare,About identify serious thousand dark.,53.3,Transportation,Expense,2025-01-07
Train Ticket,Sell wait recognize be.,351.74,Transportation,Expense,2025-02-25
Grocery Refund,Tax market accept.,87.16,Food and Dining,Expense,2025-01-19
Concert,Blue really service high.,112.61,Leisure and Entertainment,Expense,2025-01-03
Concert,Let tend major.,56.16,Leisure and Entertainment,Expense,2025-01-15
Movie,Head movie country.,488.82,Leisure and Entertainment,Expense,2025-01-10
Train Ticket,Town tend purpose hospital whatever claim.,132.82,Transportation,Expense,2025-02-06
Grocery Refund,Its onto same fish method.,2799.48,Food and Dining,Income,2025-02-04
Laundry,Economic newspaper up.,464.51,Living,Expense,2025-03-10
Coffee,Source season instead relationship I.,228.23,Living,Expense,2025-02-04
Fast Food,Customer site song election side marriage.,394.06,Food and Dining,Expense,2025-01-24
Snacks,Worry huge oil.,161.82,Food and Dining,Expense,2025-03-05
Scholarship,Lay environmental body camera measure.,232.35,Academic,Expense,2025-03-07
Bus Fare,Cover candidate leg data rate local.,2722.76,Transportation,Income,2025-02-15
Bike Repair,Ever career protect pattern.,5.33,Transportation,Expense,2025-03-22
Netflix Subscription,Tonight author high which will.,347.59,Leisure and Entertainment,Expense,2025-03-05
Utilities,Determine enjoy easy across field.,178.9,Living,Expense,2025-02-04
Gas,Class all lawyer economy word authority.,43.47,Transportation,Expense,2025-01-23
Water Bill,Same television worker instead.,424.2,Living,Expense,2025-02-27
Gym,Any strategy character rate material.,217.47,Leisure and Entertainment,Expense,2025-03-18
Tuition,Recognize no box local popular pressure.,427.34,Academic,Expense,2025-02-28
Freelance Work,Send machine drive billion fine.,22.3,Academic,Expense,2025-01-24
Bus Fare,Change success animal Mr most.,251.58,Transportation,Expense,2025-02-19
Bike Repair,Source amount easy write.,235.48,Transportation,Expense,2025-01-21
Water Bill,Company their whether worker likely source.,1946.61,Living,Income,2025-03-05
Utilities,Woman contain energy challenge include.,63.36,Living,Expense,2025-01-18
Restaurant,Film into fire glass.,428.05,Food and Dining,Expense,2025-03-04
Ride Share,More third face hair improve might.,474.38,Transportation,Expense,2025-03-26
Snacks,Too base agreement opportunity.,349.12,Food and Dining,Expense,2025-01-12
Freelance Work,Particular simple suggest among how.,160.13,Academic,Expense,2025-03-05
Bus Fare,Production medical two.,786.01,Transportation,Income,2025-01-21
Utilities,Agreement few quickly ten provide reveal.,485.72,Living,Expense,2025-03-28
Scholarship,Walk nature thousand.,94.44,Academic,Expense,2025-03-14
Gym,And actually baby president standard understand.,321.06,Leisure and Entertainment,Expense,2025-03-18
Concert,How well itself show.,355.7,Leisure and Entertainment,Expense,2025-02-16
Train Ticket,Just speak research blue friend.,172.04,Transportation,Expense,2025-03-04
Fast Food,Water during pay fill.,330.8,Food and Dining,Expense,2025-03-30
Bus Fare,Federal my stay four itself.,364.93,Transportation,Expense,2025-01-29
Train Ticket,Behind choose true relationship.,13.39,Transportation,Expense,2025-03-16
Movie,Star show specific like.,299.67,Leisure and Entertainment,Expense,2025-01-26
Freelance Work,Year themselves process bad.,1683.19,Academic,Income,2025-02-11
Train Ticket,Share serious term authority assume first.,2625.89,Transportation,Income,2025-03-05
Restaurant,Suggest near drug after check.,49.55,Food and Dining,Expense,2025-01-30
Water Bill,Serious include person.,40.45,Living,Expense,2025-02-14
Water Bill,Land same learn across human.,137.82,Living,Expense,2025-03-15
Gym,Official maybe management protect investment.,311.23,Leisure and Entertainment,Income,2025-01-29
Grocery Refund,Realize walk on.,828.99,Food and Dining,Income,2025-03-31
Laundry,Recently national according teach far also.,384.54,Living,Expense,2025-03-26
Snacks,Political security agency.,10.98,Food and Dining,Expense,2025-02-01
Train Ticket,Voice check really season character.,301.22,Transportation,Expense,2025-03-20
Gym,Participant recognize later.,350.99,Leisure and Entertainment,Expense,2025-03-27
Bus Fare,Including generation exactly federal state mother.,2155.62,Transportation,Income,2025-01-03
Ride Share,Stay see in eat.,220.13,Transportation,Expense,2025-01-21
Books,Including affect stop him.,168.03,Academic,Expense,2025-02-16
Scholarship,Cover baby box half example.,91.19,Academic,Expense,2025-03-17
Grocery Refund,Wonder including would kind.,487.88,Food and Dining,Expense,2025-03-07
Gym,Real style drug individual.,478.65,Leisure and Entertainment,Expense,2025-02-19
Groceries,International sound system.,229.72,Living,Expense,2025-01-01
