Age_Group,Sex,Year_Level,In_relationship,Personality,Home_Region,Living_Situation,Dorm_Area,Roommates,Degree_Program,In_Organization,Hours_of_Study_per_Week,Monthly_Allowance,Family_Monthly_Income,Have_Scholarship,Have_Job,Meal_Preferences,Frequency_of_Going_Home,Have_Health_Concern,Preferred_Payment_Method,Living_Expenses,Food_and_Dining_Expenses,Transportation_Expenses,Leisure_and_Entertainment_Expenses,Academic_Expenses
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,No,Less then 10 hours,7050,"P12,031 - P24,060",No,No,A combination of the above,Always,No,Cash,1250,3000,2000,300,500
21-23,Female,Senior,No,Introvert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Biology,No,More then 40 hours,5400,"P48,121 - P84,210",Yes,No,A combination of the above,Rarely,No,Cash,1100,3500,400,200,200
18-20,Female,Sophomore,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live alone,BS Biology,No,21-30 hours,8000,"More than P240,601",No,No,I cook my meals,Always,No,Cash,1300,300,300,1000,500
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live alone,BS Nutrition,No,10-20 hours,6650,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,Yes,Combination of the three,4600,1300,250,300,200
18-20,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live alone,BS Mathematics,Yes,Less then 10 hours,13100,"P24,061 - P48,120",Yes,Yes,A combination of the above,Always,No,Combination of the three,3100,8000,500,1000,500
18-20,Female,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Mathematics and Science Teaching,No,31-40 hours,8800,"Less than P12,030",No,No,A combination of the above,Always,No,Cash,3800,2000,1000,1000,1000
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 1 roommate,BS Agricultural Biotechnology,Yes,21-30 hours,19000,"Less than P12,030",Yes,Yes,A combination of the above,Rarely,Yes,Combination of the three,5000,4000,5000,3000,2000
18-20,Male,Junior,No,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,No,Less then 10 hours,10000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,2000,4000,500,500,500
21-23,Male,Senior,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live alone,BS Industrial Engineering,Yes,Less then 10 hours,12550,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,7000,4000,250,1000,300
21-23,Female,Junior,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live alone,BA Communication Arts,Yes,31-40 hours,9800,"P48,121 - P84,210",No,No,A combination of the above,Always,Yes,Combination of the three,7000,1500,300,500,500
18-20,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Biology,Yes,10-20 hours,6000,"More than P240,601",No,No,A combination of the above,Always,No,Cash,0,1600,300,1000,500
18-20,Male,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Anos,With family,BS Human Ecology,Yes,10-20 hours,5000,"P24,061 - P48,120",No,No,A combination of the above,Always,No,Online Payment ,0,1000,800,1000,500
21-23,Male,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Agriculture,No,31-40 hours,5000,"P12,031 - P24,060",Yes,No,I cook my meals,Always,Yes,Cash,700,2000,1000,500,500
21-23,Female,Junior,No,Ambivert,Metro Manila,With family,Kaliwa,With family,BS Applied Mathematics,Yes,10-20 hours,15000,"P24,061 - P48,120",No,No,I buy pre-packaged food,Sometimes,Yes,Online Payment ,0,5000,500,2000,500
21-23,Male,Junior,Yes,Introvert,Metro Manila,Inside campus,UP Dorm,I live with more than 3 roommates,BS Chemical Engineering,No,10-20 hours,6500,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,2000,2000,500,1000,1000
18-20,Male,Sophomore,No,Introvert,Metro Manila,Inside campus,Kanan,I live alone,BS Agricultural and Applied Economics,Yes,More then 40 hours,8500,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Combination of the three,3500,3000,1000,500,500
21-23,Female,Senior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live alone,BS Chemistry,Yes,10-20 hours,15200,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,9000,4000,200,1000,1000
18-20,Male,Sophomore,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live alone,BS Development Communication,Yes,21-30 hours,"10,400","P48,121 - P84,210",Yes,No,A combination of the above,Rarely,Yes,Cash,4500,5500,100,200,100
