name,description,totalAmount,category,type,date
Bus Fare,Daily commute,13.42,Transportation,Expense,2025-04-01
Bus Fare,Daily commute,12.59,Transportation,Expense,2025-04-01
Daily Food,Meal and drink,184.28,Food and Dining,Expense,2025-04-02
Jeep Fare,Daily commute,19.0,Transportation,Expense,2025-04-02
Daily Food,Meal and drink,192.29,Food and Dining,Expense,2025-04-03
Ride Share,Daily commute,15.4,Transportation,Expense,2025-04-03
Tricycle Fare,Daily commute,20.04,Transportation,Expense,2025-04-03
Spotify,Leisure or entertainment,270.71,Leisure and Entertainment,Expense,2025-04-03
Notebook,Academic supplies or materials,218.5,Academic,Expense,2025-04-03
Daily Food,Meal and drink,173.55,Food and Dining,Expense,2025-04-04
Jeep Fare,Daily commute,16.21,Transportation,Expense,2025-04-04
Lab Manual,Academic supplies or materials,343.09,Academic,Expense,2025-04-04
Daily Food,Meal and drink,148.67,Food and Dining,Expense,2025-04-05
Tricycle Fare,Daily commute,22.39,Transportation,Expense,2025-04-05
Netflix,Leisure or entertainment,211.91,Leisure and Entertainment,Expense,2025-04-05
Ride Share,Daily commute,22.13,Transportation,Expense,2025-04-06
Bus Fare,Daily commute,20.51,Transportation,Expense,2025-04-06
Daily Food,Meal and drink,158.16,Food and Dining,Expense,2025-04-07
Ride Share,Daily commute,12.75,Transportation,Expense,2025-04-07
Daily Food,Meal and drink,124.11,Food and Dining,Expense,2025-04-08
Daily Food,Meal and drink,125.2,Food and Dining,Expense,2025-04-09
Bus Fare,Daily commute,29.4,Transportation,Expense,2025-04-09
Tricycle Fare,Daily commute,27.84,Transportation,Expense,2025-04-09
Mobile Game,Leisure or entertainment,299.56,Leisure and Entertainment,Expense,2025-04-09
Daily Food,Meal and drink,156.23,Food and Dining,Expense,2025-04-10
Bus Fare,Daily commute,29.14,Transportation,Expense,2025-04-10
Daily Food,Meal and drink,121.54,Food and Dining,Expense,2025-04-11
Daily Food,Meal and drink,127.04,Food and Dining,Expense,2025-04-12
Ride Share,Daily commute,26.45,Transportation,Expense,2025-04-12
Spotify,Leisure or entertainment,240.12,Leisure and Entertainment,Expense,2025-04-12
Bus Fare,Daily commute,12.0,Transportation,Expense,2025-04-13
Ride Share,Daily commute,24.43,Transportation,Expense,2025-04-13
Daily Food,Meal and drink,186.69,Food and Dining,Expense,2025-04-14
Daily Food,Meal and drink,199.79,Food and Dining,Expense,2025-04-15
Bus Fare,Daily commute,20.55,Transportation,Expense,2025-04-15
Netflix,Leisure or entertainment,113.48,Leisure and Entertainment,Expense,2025-04-15
Daily Food,Meal and drink,111.83,Food and Dining,Expense,2025-04-16
Ride Share,Daily commute,10.48,Transportation,Expense,2025-04-16
Daily Food,Meal and drink,107.68,Food and Dining,Expense,2025-04-17
Ride Share,Daily commute,10.43,Transportation,Expense,2025-04-17
Photocopy,Academic supplies or materials,146.18,Academic,Expense,2025-04-17
Daily Food,Meal and drink,194.88,Food and Dining,Expense,2025-04-18
Daily Food,Meal and drink,175.45,Food and Dining,Expense,2025-04-19
Jeep Fare,Daily commute,13.74,Transportation,Expense,2025-04-19
Jeep Fare,Daily commute,17.97,Transportation,Expense,2025-04-19
Snack Out,Leisure or entertainment,135.56,Leisure and Entertainment,Expense,2025-04-19
Bus Fare,Daily commute,16.73,Transportation,Expense,2025-04-20
Ride Share,Daily commute,18.16,Transportation,Expense,2025-04-20
Daily Food,Meal and drink,158.69,Food and Dining,Expense,2025-04-21
Daily Food,Meal and drink,128.86,Food and Dining,Expense,2025-04-22
Jeep Fare,Daily commute,10.54,Transportation,Expense,2025-04-22
Jeep Fare,Daily commute,16.97,Transportation,Expense,2025-04-22
Movie Ticket,Leisure or entertainment,111.46,Leisure and Entertainment,Expense,2025-04-22
Daily Food,Meal and drink,143.21,Food and Dining,Expense,2025-04-23
Jeep Fare,Daily commute,16.99,Transportation,Expense,2025-04-23
Bus Fare,Daily commute,17.07,Transportation,Expense,2025-04-23
Daily Food,Meal and drink,144.31,Food and Dining,Expense,2025-04-24
Jeep Fare,Daily commute,23.64,Transportation,Expense,2025-04-24
