name,description,totalAmount,category,type,date
Daily Food,Meal and drink,103.82,Food and Dining,Expense,2025-01-01
Bus Fare,Daily commute,19.66,Transportation,Expense,2025-01-01
Ride Share,Daily commute,21.0,Transportation,Expense,2025-01-01
Daily Food,Meal and drink,159.94,Food and Dining,Expense,2025-01-02
Daily Food,Meal and drink,125.33,Food and Dining,Expense,2025-01-03
Ride Share,Daily commute,25.13,Transportation,Expense,2025-01-03
Daily Food,Meal and drink,119.53,Food and Dining,Expense,2025-01-04
Tricycle Fare,Daily commute,23.64,Transportation,Expense,2025-01-04
Movie Ticket,Leisure or entertainment,67.33,Leisure and Entertainment,Expense,2025-01-04
Ride Share,Daily commute,12.9,Transportation,Expense,2025-01-05
Mobile Game,Leisure or entertainment,106.28,Leisure and Entertainment,Expense,2025-01-05
Daily Food,Meal and drink,100.69,Food and Dining,Expense,2025-01-06
Daily Food,Meal and drink,165.07,Food and Dining,Expense,2025-01-07
Bus Fare,Daily commute,20.68,Transportation,Expense,2025-01-07
Daily Food,Meal and drink,176.81,Food and Dining,Expense,2025-01-08
Bus Fare,Daily commute,18.13,Transportation,Expense,2025-01-08
Daily Food,Meal and drink,119.6,Food and Dining,Expense,2025-01-09
Bus Fare,Daily commute,25.49,Transportation,Expense,2025-01-09
Netflix,Leisure or entertainment,153.77,Leisure and Entertainment,Expense,2025-01-09
Daily Food,Meal and drink,137.94,Food and Dining,Expense,2025-01-10
Tricycle Fare,Daily commute,29.81,Transportation,Expense,2025-01-10
Ride Share,Daily commute,24.79,Transportation,Expense,2025-01-10
Daily Food,Meal and drink,129.6,Food and Dining,Expense,2025-01-11
Jeep Fare,Daily commute,13.14,Transportation,Expense,2025-01-11
Ride Share,Daily commute,13.07,Transportation,Expense,2025-01-12
Ride Share,Daily commute,20.62,Transportation,Expense,2025-01-12
Daily Food,Meal and drink,157.88,Food and Dining,Expense,2025-01-13
Ride Share,Daily commute,28.36,Transportation,Expense,2025-01-13
Tricycle Fare,Daily commute,10.3,Transportation,Expense,2025-01-13
Lab Manual,Academic supplies or materials,278.17,Academic,Expense,2025-01-13
Daily Food,Meal and drink,134.31,Food and Dining,Expense,2025-01-14
Ride Share,Daily commute,25.37,Transportation,Expense,2025-01-14
Mobile Game,Leisure or entertainment,102.0,Leisure and Entertainment,Expense,2025-01-14
Daily Food,Meal and drink,101.57,Food and Dining,Expense,2025-01-15
Bus Fare,Daily commute,22.75,Transportation,Expense,2025-01-15
Ride Share,Daily commute,25.45,Transportation,Expense,2025-01-15
Daily Food,Meal and drink,127.39,Food and Dining,Expense,2025-01-16
Jeep Fare,Daily commute,10.33,Transportation,Expense,2025-01-16
Tricycle Fare,Daily commute,23.55,Transportation,Expense,2025-01-16
Daily Food,Meal and drink,151.02,Food and Dining,Expense,2025-01-17
Ride Share,Daily commute,17.61,Transportation,Expense,2025-01-17
Notebook,Academic supplies or materials,192.8,Academic,Expense,2025-01-17
Daily Food,Meal and drink,122.02,Food and Dining,Expense,2025-01-18
Jeep Fare,Daily commute,13.63,Transportation,Expense,2025-01-18
Tricycle Fare,Daily commute,21.31,Transportation,Expense,2025-01-19
Ballpen,Academic supplies or materials,311.35,Academic,Expense,2025-01-19
Daily Food,Meal and drink,108.11,Food and Dining,Expense,2025-01-20
Bus Fare,Daily commute,27.41,Transportation,Expense,2025-01-20
Daily Food,Meal and drink,183.07,Food and Dining,Expense,2025-01-21
Tricycle Fare,Daily commute,21.84,Transportation,Expense,2025-01-21
Daily Food,Meal and drink,109.55,Food and Dining,Expense,2025-01-22
Jeep Fare,Daily commute,15.68,Transportation,Expense,2025-01-22
Ride Share,Daily commute,28.05,Transportation,Expense,2025-01-22
Daily Food,Meal and drink,144.33,Food and Dining,Expense,2025-01-23
Jeep Fare,Daily commute,10.79,Transportation,Expense,2025-01-23
