name,date,category,description,totalAmount,type
Transaction 1,2025-04-01,Academic,Auto-generated transaction 1,39.0,Expense
Transaction 2,2025-04-01,Academic,Auto-generated transaction 2,99.01,Expense
Transaction 3,2025-04-01,Leisure and Entertainment,Auto-generated transaction 3,64.38,Expense
Transaction 1,2025-04-02,Food and Dining,Auto-generated transaction 1,51.23,Expense
Transaction 2,2025-04-02,Living,Auto-generated transaction 2,67.42,Expense
Transaction 3,2025-04-02,Living,Auto-generated transaction 3,59.66,Expense
Transaction 4,2025-04-02,Transportation,Auto-generated transaction 4,34.4,Expense
Transaction 5,2025-04-02,Leisure and Entertainment,Auto-generated transaction 5,53.0,Expense
Transaction 1,2025-04-03,Leisure and Entertainment,Auto-generated transaction 1,89.41,Expense
Transaction 2,2025-04-03,Leisure and Entertainment,Auto-generated transaction 2,91.76,Expense
Transaction 3,2025-04-03,Transportation,Auto-generated transaction 3,31.14,Expense
Transaction 4,2025-04-03,Living,Auto-generated transaction 4,88.68,Expense
Transaction 1,2025-04-04,Academic,Auto-generated transaction 1,18.16,Expense
Transaction 2,2025-04-04,Living,Auto-generated transaction 2,38.26,Expense
Transaction 3,2025-04-04,Food and Dining,Auto-generated transaction 3,48.0,Expense
Transaction 4,2025-04-04,Living,Auto-generated transaction 4,54.43,Expense
Transaction 5,2025-04-04,Food and Dining,Auto-generated transaction 5,24.81,Expense
Transaction 1,2025-04-05,Food and Dining,Auto-generated transaction 1,40.47,Expense
Transaction 2,2025-04-05,Food and Dining,Auto-generated transaction 2,48.29,Expense
Transaction 3,2025-04-05,Academic,Auto-generated transaction 3,82.87,Expense
Transaction 1,2025-04-06,Food and Dining,Auto-generated transaction 1,44.18,Expense
Transaction 2,2025-04-06,Living,Auto-generated transaction 2,38.54,Expense
Transaction 3,2025-04-06,Food and Dining,Auto-generated transaction 3,40.12,Expense
Transaction 4,2025-04-06,Leisure and Entertainment,Auto-generated transaction 4,34.4,Expense
Transaction 5,2025-04-06,Living,Auto-generated transaction 5,25.75,Expense
Transaction 1,2025-04-07,Food and Dining,Auto-generated transaction 1,75.87,Expense
Transaction 2,2025-04-07,Leisure and Entertainment,Auto-generated transaction 2,40.03,Expense
Transaction 3,2025-04-07,Transportation,Auto-generated transaction 3,19.67,Expense
Transaction 4,2025-04-07,Food and Dining,Auto-generated transaction 4,88.93,Expense
Transaction 5,2025-04-07,Transportation,Auto-generated transaction 5,34.46,Expense
Transaction 1,2025-04-08,Living,Auto-generated transaction 1,14.62,Expense
Transaction 2,2025-04-08,Transportation,Auto-generated transaction 2,61.87,Expense
Transaction 1,2025-04-09,Academic,Auto-generated transaction 1,18.24,Expense
Transaction 2,2025-04-09,Living,Auto-generated transaction 2,57.46,Expense
Transaction 3,2025-04-09,Transportation,Auto-generated transaction 3,44.21,Expense
Transaction 4,2025-04-09,Food and Dining,Auto-generated transaction 4,55.72,Expense
Transaction 1,2025-04-10,Living,Auto-generated transaction 1,51.21,Expense
Transaction 2,2025-04-10,Academic,Auto-generated transaction 2,43.21,Expense
Transaction 3,2025-04-10,Transportation,Auto-generated transaction 3,50.71,Expense
Transaction 4,2025-04-10,Transportation,Auto-generated transaction 4,107.14,Expense
Transaction 1,2025-04-11,Living,Auto-generated transaction 1,45.86,Expense
Transaction 2,2025-04-11,Academic,Auto-generated transaction 2,117.46,Expense
Transaction 3,2025-04-11,Living,Auto-generated transaction 3,72.36,Expense
Transaction 1,2025-04-12,Leisure and Entertainment,Auto-generated transaction 1,45.56,Expense
Transaction 2,2025-04-12,Transportation,Auto-generated transaction 2,19.88,Expense
Transaction 3,2025-04-12,Transportation,Auto-generated transaction 3,17.92,Expense
Transaction 4,2025-04-12,Living,Auto-generated transaction 4,53.65,Expense
Transaction 5,2025-04-12,Living,Auto-generated transaction 5,32.55,Expense
Transaction 1,2025-04-13,Leisure and Entertainment,Auto-generated transaction 1,28.54,Expense
Transaction 2,2025-04-13,Living,Auto-generated transaction 2,154.76,Expense
Transaction 3,2025-04-13,Food and Dining,Auto-generated transaction 3,67.66,Expense
Transaction 4,2025-04-13,Transportation,Auto-generated transaction 4,60.21,Expense
Transaction 5,2025-04-13,Food and Dining,Auto-generated transaction 5,163.47,Expense
Transaction 1,2025-04-14,Food and Dining,Auto-generated transaction 1,79.38,Expense
Transaction 2,2025-04-14,Academic,Auto-generated transaction 2,100.69,Expense
Transaction 3,2025-04-14,Food and Dining,Auto-generated transaction 3,133.72,Expense
Transaction 1,2025-04-15,Academic,Auto-generated transaction 1,84.9,Expense
Transaction 2,2025-04-15,Living,Auto-generated transaction 2,76.87,Expense
Transaction 3,2025-04-15,Food and Dining,Auto-generated transaction 3,33.64,Expense
Transaction 1,2025-04-16,Living,Auto-generated transaction 1,89.39,Expense
Transaction 2,2025-04-16,Food and Dining,Auto-generated transaction 2,72.73,Expense
Transaction 3,2025-04-16,Living,Auto-generated transaction 3,18.78,Expense
Transaction 4,2025-04-16,Living,Auto-generated transaction 4,77.08,Expense
Transaction 5,2025-04-16,Leisure and Entertainment,Auto-generated transaction 5,43.09,Expense
Transaction 1,2025-04-17,Leisure and Entertainment,Auto-generated transaction 1,54.22,Expense
Transaction 2,2025-04-17,Transportation,Auto-generated transaction 2,69.01,Expense
Transaction 3,2025-04-17,Food and Dining,Auto-generated transaction 3,33.65,Expense
Transaction 1,2025-04-18,Academic,Auto-generated transaction 1,43.58,Expense
Transaction 2,2025-04-18,Leisure and Entertainment,Auto-generated transaction 2,12.43,Expense
Transaction 3,2025-04-18,Transportation,Auto-generated transaction 3,14.87,Expense
Transaction 4,2025-04-18,Leisure and Entertainment,Auto-generated transaction 4,21.54,Expense
Transaction 5,2025-04-18,Living,Auto-generated transaction 5,91.03,Expense
Transaction 1,2025-04-19,Transportation,Auto-generated transaction 1,87.66,Expense
Transaction 2,2025-04-19,Food and Dining,Auto-generated transaction 2,82.54,Expense
Transaction 3,2025-04-19,Leisure and Entertainment,Auto-generated transaction 3,29.19,Expense
